,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,added_at,song_title,artists,Popularity,popularity
751,2.59e-05,https://api.spotify.com/v1/audio-analysis/5dpHUPhXfwtEG1yQO1xGXH,0.663,179747,0.951,5dpHUPhXfwtEG1yQO1xGXH,0.91,5,0.292,-7.527,1,0.138,128.154,4,https://api.spotify.com/v1/tracks/5dpHUPhXfwtEG1yQO1xGXH,audio_features,spotify:track:5dpHUPhXfwtEG1yQO1xGXH,0.0396,2018-04-18T15:29:43Z,Show Me,"Tiësto,DallasK",,50
752,0.000761,https://api.spotify.com/v1/audio-analysis/3B9vTRw3RacMdUCr2NQDMl,0.567,243507,0.813,3B9vTRw3RacMdUCr2NQDMl,0.814,5,0.103,-6.652,0,0.0464,128.139,4,https://api.spotify.com/v1/tracks/3B9vTRw3RacMdUCr2NQDMl,audio_features,spotify:track:3B9vTRw3RacMdUCr2NQDMl,0.0684,2018-04-18T15:29:36Z,Kashmir,KSHMR,,42
753,0.0254,https://api.spotify.com/v1/audio-analysis/5vMAKJ78vhNtvbIKz4yeIY,0.668,179048,0.91,5vMAKJ78vhNtvbIKz4yeIY,0.0,0,0.0937,-3.884,1,0.225,125.812,4,https://api.spotify.com/v1/tracks/5vMAKJ78vhNtvbIKz4yeIY,audio_features,spotify:track:5vMAKJ78vhNtvbIKz4yeIY,0.577,2018-04-16T23:51:57Z,Cutting Shapes,Don Diablo,,5
754,0.0074,https://api.spotify.com/v1/audio-analysis/6Gw2dHX6FsQcIuiWxe0vWk,0.652,195000,0.951,6Gw2dHX6FsQcIuiWxe0vWk,0.133,9,0.0617,-3.083,0,0.0556,128.061,4,https://api.spotify.com/v1/tracks/6Gw2dHX6FsQcIuiWxe0vWk,audio_features,spotify:track:6Gw2dHX6FsQcIuiWxe0vWk,0.37,2018-04-16T23:50:48Z,Boomerang,"Brooks,GRX",,58
755,0.0214,https://api.spotify.com/v1/audio-analysis/2DGa7iaidT5s0qnINlwMjJ,0.654,193788,0.711,2DGa7iaidT5s0qnINlwMjJ,0.00191,1,0.0903,-7.438,0,0.0383,127.957,4,https://api.spotify.com/v1/tracks/2DGa7iaidT5s0qnINlwMjJ,audio_features,spotify:track:2DGa7iaidT5s0qnINlwMjJ,0.198,2018-04-16T23:46:41Z,The Spectre,Alan Walker,,73
756,0.0485,https://api.spotify.com/v1/audio-analysis/3emgZsn8jToOwjrAtgSh8v,0.653,218672,0.944,3emgZsn8jToOwjrAtgSh8v,3.08e-06,2,0.29,-2.277,0,0.0389,128.021,4,https://api.spotify.com/v1/tracks/3emgZsn8jToOwjrAtgSh8v,audio_features,spotify:track:3emgZsn8jToOwjrAtgSh8v,0.612,2018-04-16T23:45:49Z,Tell Me You Love Me - DropGun Remix,"Galantis,Throttle,Dropgun",,35
757,0.0271,https://api.spotify.com/v1/audio-analysis/6Bz6Rsp8GyeK4yL7APYYX3,0.514,250810,0.878,6Bz6Rsp8GyeK4yL7APYYX3,0.000356,10,0.142,-4.498,1,0.038,125.988,4,https://api.spotify.com/v1/tracks/6Bz6Rsp8GyeK4yL7APYYX3,audio_features,spotify:track:6Bz6Rsp8GyeK4yL7APYYX3,0.249,2018-04-16T23:45:44Z,Dreamer - Matisse & Sadko Remix,"Axwell /\ Ingrosso,Matisse & Sadko",,54
758,0.0164,https://api.spotify.com/v1/audio-analysis/5hvoedbyY9mLFsaxxP5oi7,0.643,184697,0.817,5hvoedbyY9mLFsaxxP5oi7,0.00239,4,0.126,-3.506,0,0.0472,128.119,4,https://api.spotify.com/v1/tracks/5hvoedbyY9mLFsaxxP5oi7,audio_features,spotify:track:5hvoedbyY9mLFsaxxP5oi7,0.381,2018-04-16T23:44:15Z,Fireflies (feat. Luciana),"Bassjackers,Luciana",,56
759,0.00761,https://api.spotify.com/v1/audio-analysis/3lmebIvU89RA5336bjBIaQ,0.764,214154,0.909,3lmebIvU89RA5336bjBIaQ,7.38e-06,6,0.229,-4.353,0,0.234,129.967,4,https://api.spotify.com/v1/tracks/3lmebIvU89RA5336bjBIaQ,audio_features,spotify:track:3lmebIvU89RA5336bjBIaQ,0.623,2018-04-16T23:40:11Z,Light My Body Up (feat. Nicki Minaj & Lil Wayne) - Tujamo Remix,"David Guetta,Nicki Minaj,Lil Wayne,Tujamo",,46
760,0.0228,https://api.spotify.com/v1/audio-analysis/5BOsXSau6i4IhmxKRBjZ6n,0.678,191250,0.957,5BOsXSau6i4IhmxKRBjZ6n,0.147,4,0.521,-4.319,0,0.0804,128.038,4,https://api.spotify.com/v1/tracks/5BOsXSau6i4IhmxKRBjZ6n,audio_features,spotify:track:5BOsXSau6i4IhmxKRBjZ6n,0.635,2018-04-16T23:35:40Z,End Of The Night,"NGHTMRE,Ghastly",,39
761,0.0328,https://api.spotify.com/v1/audio-analysis/4AkjmCWP2QODrZ6i7nvxxq,0.639,167627,0.873,4AkjmCWP2QODrZ6i7nvxxq,0.00139,4,0.0911,-5.629,1,0.165,126.047,4,https://api.spotify.com/v1/tracks/4AkjmCWP2QODrZ6i7nvxxq,audio_features,spotify:track:4AkjmCWP2QODrZ6i7nvxxq,0.683,2018-04-16T23:33:36Z,Born Ready - Halogen Radio Edit,"Disco Fries,Hope Murphy",,40
762,0.0103,https://api.spotify.com/v1/audio-analysis/5P9lfNxIoCTCcInZRSdjW4,0.707,179387,0.921,5P9lfNxIoCTCcInZRSdjW4,0.17,8,0.0995,-4.077,0,0.111,127.982,4,https://api.spotify.com/v1/tracks/5P9lfNxIoCTCcInZRSdjW4,audio_features,spotify:track:5P9lfNxIoCTCcInZRSdjW4,0.0397,2018-04-16T23:30:01Z,How Do You Feel Right Now,Axwell /\ Ingrosso,,51
763,0.0234,https://api.spotify.com/v1/audio-analysis/06EYeMQY1wmjHfMr3mDT0M,0.539,187500,0.825,06EYeMQY1wmjHfMr3mDT0M,0.0,7,0.172,-3.972,0,0.0678,127.95,4,https://api.spotify.com/v1/tracks/06EYeMQY1wmjHfMr3mDT0M,audio_features,spotify:track:06EYeMQY1wmjHfMr3mDT0M,0.233,2018-04-16T23:06:29Z,Survivors - Radio Edit,"Hardwell,Dannic,Haris",,30
764,0.015,https://api.spotify.com/v1/audio-analysis/5v54ZQ0glzbB9XUPTaX0cj,0.56,209766,0.742,5v54ZQ0glzbB9XUPTaX0cj,0.0134,9,0.639,-6.122,1,0.0666,128.06,4,https://api.spotify.com/v1/tracks/5v54ZQ0glzbB9XUPTaX0cj,audio_features,spotify:track:5v54ZQ0glzbB9XUPTaX0cj,0.275,2018-04-16T22:40:42Z,Apollo - Radio Edit,"Hardwell,Amba Shepherd",,46
